beta,k,likelihood
0.2,0.07,7.923324287520407e-16
0.2,0.07204081632653062,5.212349998873142e-16
0.2,0.07408163265306122,3.248826075104911e-16
0.2,0.07612244897959185,1.9158183597576512e-16
0.2,0.07816326530612246,1.0671950151960602e-16
0.2,0.08020408163265307,5.60632634292904e-17
0.2,0.08224489795918369,2.7726624194204658e-17
0.2,0.0842857142857143,1.2885232707089531e-17
0.2,0.0863265306122449,5.615762045035646e-18
0.2,0.08836734693877552,2.2905555359086905e-18
0.2,0.09040816326530612,8.72431082476366e-19
0.2,0.09244897959183675,3.0957650838154518e-19
0.2,0.09448979591836736,1.020900093940023e-19
0.2,0.09653061224489796,3.1206838238601667e-20
0.2,0.09857142857142859,8.818179615663663e-21
0.2,0.1006122448979592,2.296771620158447e-21
0.2,0.1026530612244898,5.497258794184703e-22
0.2,0.10469387755102041,1.205239901094185e-22
0.2,0.10673469387755102,2.4123232976992137e-23
0.2,0.10877551020408165,4.392287694872723e-24
0.2,0.11081632653061226,7.247979402775729e-25
0.2,0.11285714285714286,1.0797092472772402e-25
0.2,0.11489795918367349,1.445986107062355e-26
0.2,0.1169387755102041,1.7334013014123297e-27
0.2,0.1189795918367347,1.8515008645052883e-28
0.2,0.12102040816326531,1.753668676447431e-29
0.2,0.12306122448979592,1.4654480941721684e-30
0.2,0.12510204081632653,1.0746802609403283e-31
0.2,0.12714285714285717,6.877661378661962e-33
0.2,0.12918367346938775,3.818524717121037e-34
0.2,0.1312244897959184,1.8278967420415952e-35
0.2,0.133265306122449,7.495095500081845e-37
0.2,0.1353061224489796,2.614527940633963e-38
0.2,0.1373469387755102,7.703111495182979e-40
0.2,0.13938775510204082,1.902387060039725e-41
0.2,0.14142857142857146,3.9068109582763965e-43
0.2,0.14346938775510204,6.615863151906056e-45
0.2,0.14551020408163268,9.156930379593547e-47
0.2,0.14755102040816329,1.0262896263218143e-48
0.2,0.1495918367346939,9.223407550545634e-51
0.2,0.1516326530612245,6.578624131745759e-53
0.2,0.1536734693877551,3.683709389137471e-55
0.2,0.15571428571428572,1.6009483060854496e-57
0.2,0.15775510204081633,5.335593768458551e-60
0.2,0.15979591836734697,1.346467340990071e-62
0.2,0.16183673469387755,2.538735313365741e-65
0.2,0.16387755102040819,3.526460008478296e-68
0.2,0.1659183673469388,3.555699588453295e-71
0.2,0.1679591836734694,2.5620947734290284e-74
0.2,0.17,1.2977899390248679e-77
0.2163265306122449,0.07,1.5617925536935064e-13
0.2163265306122449,0.07204081632653062,1.1598467334717613e-13
0.2163265306122449,0.07408163265306122,8.184401889324628e-14
0.2163265306122449,0.07612244897959185,5.4804951520328194e-14
0.2163265306122449,0.07816326530612246,3.477740962862689e-14
0.2163265306122449,0.08020408163265307,2.088222058459331e-14
0.2163265306122449,0.08224489795918369,1.184604816297759e-14
0.2163265306122449,0.0842857142857143,6.3381054237459865e-15
0.2163265306122449,0.0863265306122449,3.192722397401995e-15
0.2163265306122449,0.08836734693877552,1.5113263011343356e-15
0.2163265306122449,0.09040816326530612,6.709367613119065e-16
0.2163265306122449,0.09244897959183675,2.7874771909163466e-16
0.2163265306122449,0.09448979591836736,1.081371017051888e-16
0.2163265306122449,0.09653061224489796,3.907904883740059e-17
0.2163265306122449,0.09857142857142859,1.31230209133683e-17
0.2163265306122449,0.1006122448979592,4.084123965790238e-18
0.2163265306122449,0.1026530612244898,1.1747118954727493e-18
0.2163265306122449,0.10469387755102041,3.11356264913217e-19
0.2163265306122449,0.10673469387755102,7.581157320595293e-20
0.2163265306122449,0.10877551020408165,1.6902507189417236e-20
0.2163265306122449,0.11081632653061226,3.4388662835599985e-21
0.2163265306122449,0.11285714285714286,6.361505992485642e-22
0.2163265306122449,0.11489795918367349,1.0659438584930157e-22
0.2163265306122449,0.1169387755102041,1.6113909655190468e-23
0.2163265306122449,0.1189795918367347,2.188421928224577e-24
0.2163265306122449,0.12102040816326531,2.658278117468519e-25
0.2163265306122449,0.12306122448979592,2.87464450863772e-26
0.2163265306122449,0.12510204081632653,2.753922589989576e-27
0.2163265306122449,0.12714285714285717,2.3252066410940207e-28
0.2163265306122449,0.12918367346938775,1.7208981449670496e-29
0.2163265306122449,0.1312244897959184,1.1100721096400096e-30
0.2163265306122449,0.133265306122449,6.203526932276609e-32
0.2163265306122449,0.1353061224489796,2.9844956578864562e-33
0.2163265306122449,0.1373469387755102,1.2278843496030443e-34
0.2163265306122449,0.13938775510204082,4.289994257822084e-36
0.2163265306122449,0.14142857142857146,1.2634790257531993e-37
0.2163265306122449,0.14346938775510204,3.1125981005778516e-39
0.2163265306122449,0.14551020408163268,6.361749776761655e-41
0.2163265306122449,0.14755102040816329,1.0695401585207332e-42
0.2163265306122449,0.1495918367346939,1.4657386080018189e-44
0.2163265306122449,0.1516326530612245,1.6218831159514678e-46
0.2163265306122449,0.1536734693877551,1.4346046242550362e-48
0.2163265306122449,0.15571428571428572,1.0037139503387828e-50
0.2163265306122449,0.15775510204081633,5.493191517549346e-53
0.2163265306122449,0.15979591836734697,2.3242982193830413e-55
0.2163265306122449,0.16183673469387755,7.510265249228796e-58
0.2163265306122449,0.16387755102040819,1.829249576209402e-60
0.2163265306122449,0.1659183673469388,3.312840991385917e-63
0.2163265306122449,0.1679591836734694,4.3971864257224786e-66
0.2163265306122449,0.17,4.2130386889975503e-69
0.2326530612244898,0.07,1.0608586745773964e-11
0.2326530612244898,0.07204081632653062,8.763886510807627e-12
